date,y5,term_premium_proxy,expectations_proxy
2005-01-31,3.02,0.6208059486564752,2.3991940513435246
2005-02-28,3.18,0.7747121806253812,2.405287819374619
2005-03-31,3.16,0.7561312029968728,2.4038687970031276
2005-04-30,2.85,0.6172030221961674,2.2327969778038326
2005-05-31,2.72,0.4875398097771367,2.2324601902228633
2005-06-30,2.56,0.6184374205922746,1.9415625794077256
2005-07-31,2.71,0.49164305939813957,2.2183569406018604
2005-08-31,2.66,0.4616004166396335,2.1983995833603664
2005-09-30,2.79,0.5981511980216623,2.1918488019783378
2005-10-31,3.06,0.47947801974853455,2.5805219802514654
2005-11-30,3.12,0.5174007848539888,2.6025992151460113
2005-12-31,3.08,0.32639123867215225,2.7536087613278477
2006-01-31,3.28,0.46678267279918745,2.8132173272008125
2006-02-28,3.32,0.4340205034405919,2.885979496559408
2006-03-31,3.59,0.4998149974569913,3.0901850025430084
2006-04-30,3.79,0.34292725587348344,3.4470727441265168
2006-05-31,3.7,0.4538609095192047,3.2461390904807956
2006-06-30,3.88,0.4462902853238318,3.433709714676168
2006-07-31,3.74,0.35450087892336146,3.3854991210766388
2006-08-31,3.63,0.3572126476662919,3.272787352333708
2006-09-30,3.58,0.42304359986596635,3.1569564001340336
2006-10-31,3.74,0.22954035353266114,3.510459646467339
2006-11-30,3.66,0.4056927332301622,3.254307266769838
2006-12-31,3.91,0.21987597798083197,3.6901240220191682
2007-01-31,4.04,0.4551551009280219,3.584844899071978
2007-02-28,3.9,0.4047460593802311,3.4952539406197687
2007-03-31,4.0,0.3917472878726711,3.608252712127329
2007-04-30,4.18,0.30042853409936077,3.879571465900639
2007-05-31,4.39,0.46300142401674405,3.9269985759832555
2007-06-30,4.52,0.4293135895229104,4.0906864104770895
2007-07-31,4.32,0.3428932268402377,3.9771067731597625
2007-08-31,4.16,0.3916298915657021,3.768370108434298
2007-09-30,4.22,0.5222661532739241,3.6977338467260754
2007-10-31,4.11,0.39712773740022106,3.712872262599779
2007-11-30,3.9,0.5368830171210485,3.3631169828789513
2007-12-31,4.2,0.3858356717347758,3.8141643282652242
2008-01-31,3.63,0.459513449086855,3.170486550913145
2008-02-29,3.46,0.5717643433866357,2.8882356566133645
2008-03-31,3.69,0.517324432803848,3.172675567196152
2008-04-30,3.98,0.4775626706637818,3.5024373293362183
2008-05-31,4.32,0.40629877297442957,3.913701227025571
2008-06-30,4.57,0.48441362789060366,4.085586372109397
2008-07-31,4.36,0.518215843727906,3.8417841562720945
2008-08-31,4.03,0.5795023709058723,3.450497629094128
2008-09-30,3.72,0.8777340314547197,2.8422659685452807
2008-10-31,3.22,1.0015770905965087,2.2184229094034915
2008-11-30,2.7,1.078851366666686,1.6211486333333143
2008-12-31,2.46,1.0437074475554848,1.4162925524445151
2009-01-31,2.57,1.2644051215126173,1.3055948784873825
2009-02-28,2.32,1.1761990243249512,1.1438009756750487
2009-03-31,2.29,1.2143028477825837,1.0756971522174164
2009-04-30,2.48,1.0447914860939116,1.4352085139060884
2009-05-31,2.73,1.230903492458427,1.499096507541573
2009-06-30,2.61,1.0838793521803247,1.5261206478196752
2009-07-31,2.61,1.061554195739546,1.5484458042604539
2009-08-31,2.57,0.8782493885390101,1.6917506114609897
2009-09-30,2.53,1.0177574469714785,1.5122425530285213
2009-10-31,2.54,0.9599923799885873,1.5800076200114126
2009-11-30,2.32,0.8882023999325138,1.431797600067486
2009-12-31,2.52,0.8811712283120758,1.6388287716879242
2010-01-31,2.33,0.7574178455797993,1.5725821544202008
2010-02-28,2.17,0.8095707366200882,1.3604292633799118
2010-03-31,2.19,0.6509497984958205,1.5390502015041796
2010-04-30,2.07,0.753686392773362,1.316313607226638
2010-05-31,1.61,0.6743901261922347,0.9356098738077654
2010-06-30,1.54,0.6546319245185303,0.8853680754814698
2010-07-31,1.78,0.5260905088073405,1.2539094911926596
2010-08-31,1.32,0.4399173619510458,0.8800826380489543
2010-09-30,1.48,0.5230234433493145,0.9569765566506855
2010-10-31,1.78,0.44311104932302153,1.3368889506769785
2010-11-30,1.8,0.5091035379339715,1.2908964620660286
2010-12-31,1.99,0.5850439485820563,1.4049560514179436
2011-01-31,2.44,0.6137452534624075,1.8262547465375925
2011-02-28,2.4,0.6481715559621216,1.7518284440378782
2011-03-31,2.71,0.7194456986300647,1.9905543013699352
2011-04-30,2.67,0.45331631846243414,2.2166836815375657
2011-05-31,2.38,0.5451858289498057,1.8348141710501942
2011-06-30,2.27,0.46212527185195096,1.807874728148049
2011-07-31,1.87,0.4115104154020428,1.4584895845979573
2011-08-31,1.36,0.5057622397303937,0.8542377602696064
2011-09-30,1.24,0.47875284254790973,0.7612471574520903
2011-10-31,1.26,0.4344863810964744,0.8255136189035256
2011-11-30,1.32,0.6275528056791926,0.6924471943208075
2011-12-31,0.87,0.4065937309949922,0.4634062690050078
2012-01-31,0.84,0.4862758121905345,0.35372418780946546
2012-02-29,0.85,0.4865450473578249,0.3634549526421751
2012-03-31,0.86,0.48936074082708175,0.37063925917291823
2012-04-30,0.66,0.35785966687794474,0.3021403331220553
2012-05-31,0.44,0.28885296914502506,0.15114703085497494
2012-06-30,0.68,0.29807361582420294,0.3819263841757971
2012-07-31,0.41,0.2679597050465453,0.14204029495345466
2012-08-31,0.44,0.32658471110688264,0.11341528889311736
2012-09-30,0.53,0.4518118659043792,0.07818813409562081
2012-10-31,0.55,0.44832958606792983,0.10167041393207021
2012-11-30,0.45,0.314084797358481,0.13591520264151902
2012-12-31,0.39,0.20000381350139018,0.18999618649860983
2013-01-31,0.77,0.331713619853511,0.438286380146489
2013-02-28,0.48,0.4028521346349242,0.07714786536507579
2013-03-31,0.31,0.30759642880698346,0.0024035711930165404
2013-04-30,0.35,0.2568630212310422,0.09313697876895777
2013-05-31,0.5,0.15965392358169367,0.34034607641830633
2013-06-30,0.74,0.4011957237196368,0.3388042762803632
2013-07-31,0.71,0.15603155058589463,0.5539684494141053
2013-08-31,0.85,0.26102795297998205,0.5889720470200179
2013-09-30,0.69,0.2983070892953097,0.39169291070469026
2013-10-31,0.65,0.25294065683733874,0.3970593431626613
2013-11-30,0.66,0.2731073660437068,0.38689263395629325
2013-12-31,0.95,0.2988291626522056,0.6511708373477944
2014-01-31,0.61,0.19766195416288207,0.4123380458371179
2014-02-28,0.61,0.2212709674463392,0.38872903255366076
2014-03-31,0.61,0.15627043616156716,0.4537295638384328
2014-04-30,0.6,0.15419296799873491,0.44580703200126504
2014-05-31,0.44,0.16337881266315019,0.2766211873368498
2014-06-30,0.38,0.09971740230653538,0.28028259769346464
2014-07-31,0.35,0.10639219148742762,0.24360780851257235
2014-08-31,0.23,0.10247836807689396,0.12752163192310606
2014-09-30,0.19,0.24138700609989788,-0.05138700609989788
2014-10-31,0.15,0.08530135891022429,0.0646986410897757
2014-11-30,0.1,0.09971195059093887,0.00028804940906113075
2014-12-31,0.02,-0.0421647644210544,0.0621647644210544
2015-01-31,-0.07,0.03237927546533401,-0.10237927546533401
2015-02-28,-0.12,0.015259000607138806,-0.1352590006071388
2015-03-31,-0.11,-0.05719647890028322,-0.05280352109971678
2015-04-30,-0.02,-0.02727779132203108,0.007277791322031081
2015-05-31,0.01,-0.017123001151459465,0.027123001151459464
2015-06-30,0.11,0.0849791581323399,0.0250208418676601
2015-07-31,0.03,-0.08702670914484731,0.11702670914484731
2015-08-31,0.07,0.05924737609924852,0.01075262390075149
2015-09-30,-0.01,0.07222455681883164,-0.08222455681883163
2015-10-31,-0.1,0.031099457737712444,-0.13109945773771245
2015-11-30,-0.18,0.0005550904659279126,-0.1805550904659279
2015-12-31,-0.01,-0.0033877295819927044,-0.006612270418007295
2016-01-31,-0.26,0.09178411497737346,-0.3517841149773735
2016-02-29,-0.42,0.060527079349835276,-0.48052707934983524
2016-03-31,-0.36,0.03086528286665501,-0.390865282866655
2016-04-30,-0.33,-0.17031171940237227,-0.15968828059762774
2016-05-31,-0.38,-0.26130736666608534,-0.11869263333391467
2016-06-30,-0.55,-0.18006574483132562,-0.3699342551686744
2016-07-31,-0.54,-0.2465796744725718,-0.29342032552742825
2016-08-31,-0.56,-0.19450889673408037,-0.3654911032659197
2016-09-30,-0.63,-0.13443200188647741,-0.4955679981135226
2016-10-31,-0.42,-0.24754549687887914,-0.17245450312112084
2016-11-30,-0.45,-0.08154115089540401,-0.36845884910459603
2016-12-31,-0.51,-0.21796595958944573,-0.29203404041055425
2017-01-31,-0.31,-0.010968943527569743,-0.2990310564724303
2017-02-28,-0.59,-0.049432175178582796,-0.5405678248214172
2017-03-31,-0.39,-0.04897894048809569,-0.3410210595119043
2017-04-30,-0.37,-0.21746820971047504,-0.15253179028952496
2017-05-31,-0.42,-0.02561939777689446,-0.3943806022231055
2017-06-30,-0.23,-0.14868023254117724,-0.08131976745882277
2017-07-31,-0.23,-0.13160579651120213,-0.09839420348879788
2017-08-31,-0.37,-0.031005875869999654,-0.33899412413000035
2017-09-30,-0.3,0.030944114338132565,-0.33094411433813253
2017-10-31,-0.35,-0.1703156267538276,-0.17968437324617237
2017-11-30,-0.29,-0.11148200175818175,-0.17851799824181824
2017-12-31,-0.18,-0.2780646775109315,0.09806467751093151
2018-01-31,0.03,0.00011439420978691419,0.029885605790213085
2018-02-28,0.02,0.0716679360428897,-0.05166793604288969
2018-03-31,-0.11,-0.020533671636941055,-0.08946632836305894
2018-04-30,-0.06,-0.014231052159112814,-0.045768947840887184
2018-05-31,-0.23,-0.1528035738707243,-0.07719642612927571
2018-06-30,-0.25,-0.06103523592309471,-0.1889647640769053
2018-07-31,-0.19,-0.13207750642903218,-0.05792249357096782
2018-08-31,-0.25,-0.0120758609428635,-0.2379241390571365
2018-09-30,-0.09,0.018184222587709242,-0.10818422258770924
2018-10-31,-0.2,0.045739503876991036,-0.24573950387699106
2018-11-30,-0.26,0.004293393114485051,-0.2642933931144851
2018-12-31,-0.31,-0.13598547962111115,-0.17401452037888884
2019-01-31,-0.33,-0.14221054341507916,-0.18778945658492086
2019-02-28,-0.32,-0.005324706467269203,-0.3146752935327308
2019-03-31,-0.47,-0.05681678092240784,-0.41318321907759215
2019-04-30,-0.41,-0.11470852934214844,-0.29529147065785155
2019-05-31,-0.59,-0.0012386662180180245,-0.5887613337819819
2019-06-30,-0.66,-0.0882453482701094,-0.5717546517298906
2019-07-31,-0.73,-0.09194809168386975,-0.6380519083161302
2019-08-31,-0.93,-0.12730323004218386,-0.8026967699578162
2019-09-30,-0.78,0.005497831135522811,-0.7854978311355229
2019-10-31,-0.64,-0.027546302771452803,-0.6124536972285473
2019-11-30,-0.61,-0.06877776352265871,-0.5412222364773412
2019-12-31,-0.49,-0.11973399518507748,-0.3702660048149225
2020-01-31,-0.64,-0.27787339232236763,-0.3621266076776324
2020-02-29,-0.77,-0.12102787679417419,-0.6489721232058259
2020-03-31,-0.68,0.016680899586236725,-0.6966808995862368
2020-04-30,-0.7,-0.14282971298536704,-0.5571702870146329
2020-05-31,-0.63,0.17356440410021787,-0.8035644041002179
2020-06-30,-0.72,-0.1325644252940613,-0.5874355747059387
2020-07-31,-0.76,-0.2916418525761305,-0.4683581474238695
2020-08-31,-0.65,-0.348166084305115,-0.30183391569488505
2020-09-30,-0.75,-0.1990564136262356,-0.5509435863737644
2020-10-31,-0.85,-0.40096371963414057,-0.4490362803658594
2020-11-30,-0.78,-0.3618627175890713,-0.41813728241092873
2020-12-31,-0.75,-0.391174095774433,-0.358825904225567
2021-01-31,-0.76,-0.4719935324121292,-0.2880064675878708
2021-02-28,-0.58,-0.4322136777456812,-0.14778632225431876
2021-03-31,-0.63,-0.7167998700574706,0.08679987005747059
2021-04-30,-0.59,-0.24318921262996213,-0.34681078737003784
2021-05-31,-0.57,-0.3692459191036242,-0.20075408089637575
2021-06-30,-0.59,-0.3613448752911249,-0.22865512470887506
2021-07-31,-0.77,-0.4863857265362211,-0.28361427346377893
2021-08-31,-0.74,-0.4259495135587065,-0.31405048644129346
2021-09-30,-0.59,-0.25234835259346483,-0.33765164740653514
2021-10-31,-0.42,-0.37797578472307414,-0.04202421527692585
2021-11-30,-0.67,-0.34537824735105915,-0.3246217526489409
2021-12-31,-0.5,-0.40166281985098234,-0.09833718014901766
2022-01-31,-0.32,-0.5379029647803479,0.21790296478034793
2022-02-28,-0.11,-0.015201633935846004,-0.094798366064154
2022-03-31,0.4,-0.1967776636530722,0.5967776636530722
2022-04-30,0.68,0.006071499700772316,0.6739285002992277
2022-05-31,0.77,0.1918881985187006,0.5781118014812994
2022-06-30,1.03,0.20255508077073076,0.8274449192292692
2022-07-31,0.53,-0.07061178433505402,0.600611784335054
