observation_date,DEUODCNPI03MLM
1979-01-01,26567
1979-02-01,28525
1979-03-01,33448
1979-04-01,33523
1979-05-01,34901
1979-06-01,35828
1979-07-01,35324
1979-08-01,32947
1979-09-01,31995
1979-10-01,32401
1979-11-01,29404
1979-12-01,28706
1980-01-01,25769
1980-02-01,29964
1980-03-01,33671
1980-04-01,32908
1980-05-01,35076
1980-06-01,33435
1980-07-01,35553
1980-08-01,31438
1980-09-01,32599
1980-10-01,35694
1980-11-01,27042
1980-12-01,27471
1981-01-01,24566
1981-02-01,24113
1981-03-01,33345
1981-04-01,31892
1981-05-01,35977
1981-06-01,33248
1981-07-01,34640
1981-08-01,31473
1981-09-01,28496
1981-10-01,29810
1981-11-01,23857
1981-12-01,24615
1982-01-01,24286
1982-02-01,23078
1982-03-01,29677
1982-04-01,29121
1982-05-01,28900
1982-06-01,30258
1982-07-01,30498
1982-08-01,28991
1982-09-01,28753
1982-10-01,29535
1982-11-01,26446
1982-12-01,25296
1983-01-01,26181
1983-02-01,26330
1983-03-01,33766
1983-04-01,38064
1983-05-01,39090
1983-06-01,41390
1983-07-01,37622
1983-08-01,38089
1983-09-01,34584
1983-10-01,36810
1983-11-01,34558
1983-12-01,33085
1984-01-01,29121
1984-02-01,26680
1984-03-01,35613
1984-04-01,29423
1984-05-01,33235
1984-06-01,28882
1984-07-01,33296
1984-08-01,28336
1984-09-01,26182
1984-10-01,25914
1984-11-01,21067
1984-12-01,18496
1985-01-01,18418
1985-02-01,19944
1985-03-01,21428
1985-04-01,25215
1985-05-01,23222
1985-06-01,21904
1985-07-01,24866
1985-08-01,21003
1985-09-01,21993
1985-10-01,21162
1985-11-01,16761
1985-12-01,16435
1986-01-01,14460
1986-02-01,16678
1986-03-01,18090
1986-04-01,22515
1986-05-01,20343
1986-06-01,22195
1986-07-01,21904
1986-08-01,20324
1986-09-01,18163
1986-10-01,17835
1986-11-01,15095
1986-12-01,11569
1987-01-01,10580
1987-02-01,12280
1987-03-01,16407
1987-04-01,16726
1987-05-01,17804
1987-06-01,17997
1987-07-01,19454
1987-08-01,18244
1987-09-01,17015
1987-10-01,16877
1987-11-01,14542
1987-12-01,12832
1988-01-01,12427
1988-02-01,13828
1988-03-01,16738
1988-04-01,18876
1988-05-01,19563
1988-06-01,20577
1988-07-01,20276
1988-08-01,19561
1988-09-01,19343
1988-10-01,19631
1988-11-01,16934
1988-12-01,16459
1989-01-01,15603
1989-02-01,18026
1989-03-01,20595
1989-04-01,23019
1989-05-01,23675
1989-06-01,25753
1989-07-01,26253
1989-08-01,23621
1989-09-01,22786
1989-10-01,27462
1989-11-01,22297
1989-12-01,26932
1990-01-01,24461
1990-02-01,25963
1990-03-01,34633
1990-04-01,33303
1990-05-01,35095
1990-06-01,35610
1990-07-01,37039
1990-08-01,33217
1990-09-01,32491
1990-10-01,34582
1990-11-01,31594
1990-12-01,33359
1991-01-01,28287
1991-02-01,28208
1991-03-01,30984
1991-04-01,35092
1991-05-01,32731
1991-06-01,37279
1991-07-01,38530
1991-08-01,35124
1991-09-01,33207
1991-10-01,35718
1991-11-01,32400
1991-12-01,33026
1992-01-01,31125
1992-02-01,28187
1992-03-01,40412
1992-04-01,33254
1992-05-01,40663
1992-06-01,40518
1992-07-01,43561
1992-08-01,40814
1992-09-01,40254
1992-10-01,40965
1992-11-01,38919
1992-12-01,40135
1993-01-01,31859
1993-02-01,31844
1993-03-01,44865
1993-04-01,40500
1993-05-01,45068
1993-06-01,49831
1993-07-01,48175
1993-08-01,47170
1993-09-01,47552
1993-10-01,47743
1993-11-01,41917
1993-12-01,47559
1994-01-01,49245
1994-02-01,47180
1994-03-01,58208
1994-04-01,61447
1994-05-01,57073
1994-06-01,64530
1994-07-01,61532
1994-08-01,63553
1994-09-01,58608
1994-10-01,64616
1994-11-01,57218
1994-12-01,69588
1995-01-01,49722
1995-02-01,48885
1995-03-01,57103
1995-04-01,54468
1995-05-01,53996
1995-06-01,53538
1995-07-01,56261
1995-08-01,53750
1995-09-01,48635
1995-10-01,49004
1995-11-01,48523
1995-12-01,65216
1996-01-01,43210
1996-02-01,41962
1996-03-01,50727
1996-04-01,50858
1996-05-01,47997
1996-06-01,53061
1996-07-01,52369
1996-08-01,48375
1996-09-01,45209
1996-10-01,46488
1996-11-01,43550
1996-12-01,52570
1997-01-01,39102
1997-02-01,42827
1997-03-01,42918
1997-04-01,45966
1997-05-01,47394
1997-06-01,46177
1997-07-01,47577
1997-08-01,42153
1997-09-01,44895
1997-10-01,45520
1997-11-01,39576
1997-12-01,45218
1998-01-01,31624
1998-02-01,30479
1998-03-01,38588
1998-04-01,40798
1998-05-01,45870
1998-06-01,46075
1998-07-01,40975
1998-08-01,41550
1998-09-01,40574
1998-10-01,40009
1998-11-01,34903
1998-12-01,46262
1999-01-01,31749
1999-02-01,28652
1999-03-01,37567
1999-04-01,37331
1999-05-01,38932
1999-06-01,40509
1999-07-01,40668
1999-08-01,36874
1999-09-01,36913
1999-10-01,37251
1999-11-01,33795
1999-12-01,37343
2000-01-01,30787
2000-02-01,28578
2000-03-01,34039
2000-04-01,28024
2000-05-01,31913
2000-06-01,30013
2000-07-01,30789
2000-08-01,30014
2000-09-01,27651
2000-10-01,25855
2000-11-01,24883
2000-12-01,25962
2001-01-01,21070
2001-02-01,23522
2001-03-01,26036
2001-04-01,25009
2001-05-01,28129
2001-06-01,26403
2001-07-01,28398
2001-08-01,25492
2001-09-01,22040
2001-10-01,24208
2001-11-01,20800
2001-12-01,19977
2002-01-01,21523
2002-02-01,21525
2002-03-01,21580
2002-04-01,25080
2002-05-01,23240
2002-06-01,23518
2002-07-01,25296
2002-08-01,21729
2002-09-01,20409
2002-10-01,20449
2002-11-01,19886
2002-12-01,29885
2003-01-01,32294
2003-02-01,28730
2003-03-01,27721
2003-04-01,24889
2003-05-01,23031
2003-06-01,22051
2003-07-01,22282
2003-08-01,20926
2003-09-01,21112
2003-10-01,22418
2003-11-01,20728
2003-12-01,30672
2004-01-01,29390
2004-02-01,29143
2004-03-01,30318
2004-04-01,23467
2004-05-01,19976
2004-06-01,20143
2004-07-01,18531
2004-08-01,19244
2004-09-01,18250
2004-10-01,18693
2004-11-01,19125
2004-12-01,21843
2005-01-01,20503
2005-02-01,19977
2005-03-01,20475
2005-04-01,18562
2005-05-01,18658
2005-06-01,19567
2005-07-01,18674
2005-08-01,19501
2005-09-01,20013
2005-10-01,18195
2005-11-01,20480
2005-12-01,25883
2006-01-01,26977
2006-02-01,24900
2006-03-01,27337
2006-04-01,21148
2006-05-01,21801
2006-06-01,18745
2006-07-01,20330
2006-08-01,19488
2006-09-01,17365
2006-10-01,16918
2006-11-01,15828
2006-12-01,16704
2007-01-01,13398
2007-02-01,12611
2007-03-01,14618
2007-04-01,15442
2007-05-01,16353
2007-06-01,15149
2007-07-01,16941
2007-08-01,15832
2007-09-01,15612
2007-10-01,16040
2007-11-01,14622
2007-12-01,15698
2008-01-01,12787
2008-02-01,13937
2008-03-01,13616
2008-04-01,16783
2008-05-01,14244
2008-06-01,16491
2008-07-01,16507
2008-08-01,14270
2008-09-01,14355
2008-10-01,14957
2008-11-01,12370
2008-12-01,14278
2009-01-01,10881
2009-02-01,11034
2009-03-01,13878
2009-04-01,14780
2009-05-01,15084
2009-06-01,15068
2009-07-01,16575
2009-08-01,15681
2009-09-01,15861
2009-10-01,16420
2009-11-01,14724
2009-12-01,17953
2010-01-01,12226
2010-02-01,12738
2010-03-01,14513
2010-04-01,13354
2010-05-01,15115
2010-06-01,16984
2010-07-01,18787
2010-08-01,17946
2010-09-01,16206
2010-10-01,16936
2010-11-01,16617
2010-12-01,16245
2011-01-01,14884
2011-02-01,15712
2011-03-01,20076
2011-04-01,17219
2011-05-01,21788
2011-06-01,18917
2011-07-01,19267
2011-08-01,20279
2011-09-01,19559
2011-10-01,18848
2011-11-01,18186
2011-12-01,23660
2012-01-01,13910
2012-02-01,15427
2012-03-01,19697
2012-04-01,18104
2012-05-01,23058
2012-06-01,23767
2012-07-01,22030
2012-08-01,21644
2012-09-01,20460
2012-10-01,22165
2012-11-01,18388
2012-12-01,20815
2013-01-01,17655
2013-02-01,18049
2013-03-01,19708
2013-04-01,23998
2013-05-01,22697
2013-06-01,22769
2013-07-01,28632
2013-08-01,24313
2013-09-01,24302
2013-10-01,23912
2013-11-01,20728
2013-12-01,23601
2014-01-01,20873
2014-02-01,19866
2014-03-01,23155
2014-04-01,23769
2014-05-01,25495
2014-06-01,23685
2014-07-01,27316
2014-08-01,24863
2014-09-01,23529
2014-10-01,26629
2014-11-01,20669
2014-12-01,25002
2015-01-01,19546
2015-02-01,21202
2015-03-01,24180
2015-04-01,24292
2015-05-01,24414
2015-06-01,26529
2015-07-01,29201
2015-08-01,26788
2015-09-01,26648
2015-10-01,27407
2015-11-01,26184
2015-12-01,32296
2016-01-01,26288
2016-02-01,27946
2016-03-01,30555
2016-04-01,32259
2016-05-01,31343
2016-06-01,34429
2016-07-01,30795
2016-08-01,31710
2016-09-01,30972
2016-10-01,32369
2016-11-01,31343
2016-12-01,35580
2017-01-01,25483
2017-02-01,25205
2017-03-01,28463
2017-04-01,27377
2017-05-01,30529
2017-06-01,32397
2017-07-01,29972
2017-08-01,30516
2017-09-01,26879
2017-10-01,29445
2017-11-01,27392
2017-12-01,34470
2018-01-01,24840
2018-02-01,24562
2018-03-01,28409
2018-04-01,29445
2018-05-01,32330
2018-06-01,28905
2018-07-01,34791
2018-08-01,31138
2018-09-01,28410
2018-10-01,26886
2018-11-01,25506
2018-12-01,32070
2019-01-01,27100
2019-02-01,22251
2019-03-01,26277
2019-04-01,30183
2019-05-01,30809
2019-06-01,28021
2019-07-01,31796
2019-08-01,32063
2019-09-01,29387
2019-10-01,31785
2019-11-01,29860
2019-12-01,41046
2020-01-01,27018
2020-02-01,24309
2020-03-01,28748
2020-04-01,30293
2020-05-01,31558
2020-06-01,34305
2020-07-01,31231
2020-08-01,31621
2020-09-01,29664
2020-10-01,30631
2020-11-01,32531
2020-12-01,36530
2021-01-01,27654
2021-02-01,30058
2021-03-01,38204
2021-04-01,29637
2021-05-01,32384
2021-06-01,31844
2021-07-01,31334
2021-08-01,31114
2021-09-01,30191
2021-10-01,29597
2021-11-01,29020
2021-12-01,39877
2022-01-01,29653
2022-02-01,28060
2022-03-01,34794
2022-04-01,31152
2022-05-01,31688
2022-06-01,30425
2022-07-01,30653
2022-08-01,28180
2022-09-01,27449
2022-10-01,25399
2022-11-01,24304
2022-12-01,32646
2023-01-01,21949
2023-02-01,22270
2023-03-01,24488
2023-04-01,21223
2023-05-01,23470
2023-06-01,21767
2023-07-01,21007
2023-08-01,19625
2023-09-01,19856
2023-10-01,22681
